Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Одаренная,Gifted,https://www.kinopoisk.ru/film/929348/,Марк Уэбб,США,2017,драма,"Крис Эванс, Маккенна Грейс",101.0,8.0,304 094
Люди в чёрном 2,Men in Black II,https://www.kinopoisk.ru/film/6379/,Барри Зонненфельд,США,2002,фантастика,"Томми Ли Джонс, Уилл Смит",88.0,7.3,303 795
Запах женщины,Scent of a Woman,https://www.kinopoisk.ru/film/4871/,Мартин Брест,США,1992,драма,"Аль Пачино, Крис О’Доннелл",156.0,8.4,303 570
Круиз по джунглям,Jungle Cruise,https://www.kinopoisk.ru/film/462059/,Жауме Кольет-Серра,США,2021,приключения,"Эмили Блант, Дуэйн Джонсон",127.0,6.8,302 461
Невероятная жизнь Уолтера Митти,The Secret Life of Walter Mitty,https://www.kinopoisk.ru/film/6034/,Бен Стиллер,США,2013,комедия,"Бен Стиллер, Кристен Уиг",114.0,7.7,302 266
Тайная жизнь домашних животных,The Secret Life of Pets,https://www.kinopoisk.ru/film/743088/,Крис Рено,США,2016,мультфильм,"Луис С.К., Эрик Стоунстрит",86.0,6.9,301 623
Джуманджи: Зов джунглей,Jumanji: Welcome to the Jungle,https://www.kinopoisk.ru/film/695609/,Джейк Кэздан,США,2017,фэнтези,"Дуэйн Джонсон, Кевин Харт",119.0,6.9,301 509
Звёздные войны: Эпизод 2 – Атака клонов,Star Wars: Episode II - Attack of the Clones,https://www.kinopoisk.ru/film/844/,Джордж Лукас,США,2002,фантастика,"Юэн Макгрегор, Хейден Кристенсен",142.0,8.0,301 469
Невидимый гость,Contratiempo,https://www.kinopoisk.ru/film/959365/,Ориол Паоло,Испания,2016,триллер,"Марио Касас, Ана Вахенер",106.0,7.8,300 975
Рок-н-рольщик,RocknRolla,https://www.kinopoisk.ru/film/378140/,Гай Ричи,Великобритания,2008,криминал,"Джерард Батлер, Том Уилкинсон",114.0,7.8,300 900
Фиксики: Большой секрет,,https://www.kinopoisk.ru/film/905038/,Василий Бедошвили,Россия,2017,мультфильм,"Александр Пушной, Дмитрий Назаров",80.0,7.5,300 520
Своя война. Шторм в пустыне,,https://www.kinopoisk.ru/film/1395461/,Алексей Чадов,Россия,2021,военный,"Алексей Чадов, Виталий Кищенко",95.0,7.4,300 115
Дневник Бриджит Джонс,Bridget Jones's Diary,https://www.kinopoisk.ru/film/621/,Шэрон Магуайр,Великобритания,2001,комедия,"Рене Зеллвегер, Колин Фёрт",97.0,7.4,299 367
Убойные каникулы,Tucker and Dale vs Evil,https://www.kinopoisk.ru/film/485261/,Илай Крэйг,Канада,2010,комедия,"Тайлер Лабин, Алан Тьюдик",85.0,7.7,297 879
Малыш на драйве,Baby Driver,https://www.kinopoisk.ru/film/902939/,Эдгар Райт,Великобритания,2017,боевик,"Энсел Элгорт, Кевин Спейси",113.0,7.2,297 829
"Хроники Нарнии: Лев, колдунья и волшебный шкаф","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.kinopoisk.ru/film/48162/,Эндрю Адамсон,Великобритания,2005,фэнтези,"Джорджи Хенли, Скандар Кейнс",143.0,7.3,297 246
Форсаж: Хоббс и Шоу,Fast & Furious Presents: Hobbs & Shaw,https://www.kinopoisk.ru/film/1044450/,Дэвид Литч,США,2019,боевик,"Дуэйн Джонсон, Джейсон Стэйтем",137.0,6.3,296 886
Мементо,Memento,https://www.kinopoisk.ru/film/335/,Кристофер Нолан,США,2000,триллер,"Гай Пирс, Кэрри-Энн Мосс",113.0,7.9,296 224
Залечь на дно в Брюгге,In Bruges,https://www.kinopoisk.ru/film/276295/,Мартин Макдона,Великобритания,2007,комедия,"Колин Фаррелл, Брендан Глисон",107.0,7.8,296 209
Тихоокеанский рубеж,Pacific Rim,https://www.kinopoisk.ru/film/546915/,Гильермо дель Торо,США,2013,фантастика,"Чарли Ханнэм, Идрис Эльба",131.0,7.0,295 762
Уроки фарси,Persian Lessons,https://www.kinopoisk.ru/film/1209777/,Вадим Перельман,Россия,2020,драма,"Науэль Перес Бискаярт, Ларс Айдингер",128.0,7.9,295 395
Время,Old,https://www.kinopoisk.ru/film/1379090/,М. Найт Шьямалан,США,2021,триллер,"Гаэль Гарсиа Берналь, Вики Крипс",108.0,6.4,294 648
Игра на понижение,The Big Short,https://www.kinopoisk.ru/film/501333/,Адам Маккей,США,2015,драма,"Кристиан Бэйл, Стив Карелл",130.0,7.4,294 203
Как приручить дракона 3,How to Train Your Dragon: The Hidden World,https://www.kinopoisk.ru/film/706655/,Дин ДеБлуа,США,2019,мультфильм,"Джей Барушель, Америка Феррера",104.0,7.8,293 003
Правила съема: Метод Хитча,Hitch,https://www.kinopoisk.ru/film/77454/,Энди Теннант,США,2005,мелодрама,"Уилл Смит, Ева Мендес",117.0,7.8,292 898
Форсаж 7,Fast & Furious 7,https://www.kinopoisk.ru/film/754481/,Джеймс Ван,США,2015,боевик,"Вин Дизель, Пол Уокер",137.0,7.0,291 483
Такси 2,Taxi 2,https://www.kinopoisk.ru/film/854/,Жерар Кравчик,Франция,2000,боевик,"Сами Насери, Фредерик Дифенталь",88.0,7.7,291 130
Ральф против интернета,Ralph Breaks the Internet,https://www.kinopoisk.ru/film/988782/,Фил Джонстон,Япония,2018,мультфильм,"Джон Си Райли, Сара Силверман",112.0,7.4,290 890
Мир Юрского периода,Jurassic World,https://www.kinopoisk.ru/film/594554/,Колин Треворроу,США,2015,фантастика,"Крис Пратт, Брайс Даллас Ховард",125.0,6.9,289 726
Экипаж,,https://www.kinopoisk.ru/film/839818/,Николай Лебедев,Россия,2016,драма,"Данила Козловский, Владимир Машков",138.0,7.7,289 659
Мира,,https://www.kinopoisk.ru/film/1227997/,Дмитрий Киселёв,Россия,2022,фантастика,"Вероника Устимова, Анатолий Белый",110.0,7.4,289 222
Звёздные войны: Эпизод 6 – Возвращение Джедая,Star Wars: Episode VI - Return of the Jedi,https://www.kinopoisk.ru/film/447/,Ричард Маркуанд,США,1983,фантастика,"Марк Хэмилл, Харрисон Форд",131.0,8.2,289 151
Люди Икс: Начало. Росомаха,X-Men Origins: Wolverine,https://www.kinopoisk.ru/film/104904/,Гэвин Худ,США,2009,фантастика,"Хью Джекман, Лив Шрайбер",107.0,7.4,288 990
Бешеные псы,Reservoir Dogs,https://www.kinopoisk.ru/film/394/,Квентин Тарантино,США,1991,криминал,"Харви Кейтель, Тим Рот",100.0,8.1,288 849
Иван Царевич и Серый Волк 5,,https://www.kinopoisk.ru/film/5101781/,Константин Феоктистов,Россия,2022,мультфильм,"Никита Ефремов, Александр Боярский",78.0,7.4,288 777
Зверопой 2,Sing 2,https://www.kinopoisk.ru/film/1009142/,Гарт Дженнингс,США,2021,мультфильм,"Тори Келли, Риз Уизерспун",110.0,8.3,288 228
Три кота и море приключений,,https://www.kinopoisk.ru/film/1445170/,Дмитрий Высоцкий,Россия,2022,мультфильм,"Максим Тимонин, Софико Гогитидзе",65.0,8.5,288 118
Джуманджи,Jumanji,https://www.kinopoisk.ru/film/8161/,Джо Джонстон,США,1995,фэнтези,"Робин Уильямс, Бонни Хант",104.0,7.9,287 627
Пеле: Рождение легенды,Pelé: Birth of a Legend,https://www.kinopoisk.ru/film/803422/,Джефф Цимбалист,США,2015,биография,"Кевин де Паула, Леонардо Лима Карвальо",107.0,8.3,287 088
От заката до рассвета,From Dusk Till Dawn,https://www.kinopoisk.ru/film/4815/,Роберт Родригес,США,1995,криминал,"Джордж Клуни, Квентин Тарантино",108.0,7.8,287 086
