Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
1+1,Intouchables,https://www.kinopoisk.ru/film/535341/,Оливье Накаш,Франция,2011,драма,"Франсуа Клюзе, Омар Си",112.0,8.8,2 115K
Джентльмены,The Gentlemen,https://www.kinopoisk.ru/film/1143242/,Гай Ричи,США,2019,криминал,"Мэттью Макконахи, Чарли Ханнэм",113.0,8.6,1 809K
Волк с Уолл-стрит,The Wolf of Wall Street,https://www.kinopoisk.ru/film/462682/,Мартин Скорсезе,США,2013,драма,"Леонардо ДиКаприо, Джона Хилл",180.0,8.0,1 389K
Брат,,https://www.kinopoisk.ru/film/41519/,Алексей Балабанов,Россия,1997,драма,"Сергей Бодров мл., Виктор Сухоруков",100.0,8.3,1 388K
Гнев человеческий,Wrath of Man,https://www.kinopoisk.ru/film/1318972/,Гай Ричи,Великобритания,2021,боевик,"Джейсон Стэйтем, Холт Маккэллани",119.0,7.6,1 327K
Один дома,Home Alone,https://www.kinopoisk.ru/film/8124/,Крис Коламбус,США,1990,комедия,"Маколей Калкин, Джо Пеши",103.0,8.3,1 183K
По щучьему велению,,https://www.kinopoisk.ru/film/4959134/,Александр Войтинский,Россия,2023,фэнтези,"Никита Кологривый, Мила Ершова",115.0,7.8,1 121K
Достать ножи,Knives Out,https://www.kinopoisk.ru/film/1188529/,Райан Джонсон,США,2019,детектив,"Дэниэл Крэйг, Ана де Армас",130.0,8.1,1 097K
Аватар,Avatar,https://www.kinopoisk.ru/film/251733/,Джеймс Кэмерон,США,2009,фантастика,"Сэм Уортингтон, Зои Салдана",162.0,8.0,1 087K
Зеленая книга,Green Book,https://www.kinopoisk.ru/film/1108577/,Питер Фаррелли,США,2018,биография,"Вигго Мортенсен, Махершала Али",130.0,8.5,1 074K
Холоп 2,,https://www.kinopoisk.ru/film/5047468/,Клим Шипенко,Россия,2023,комедия,"Аглая Тарасова, Милош Бикович",119.0,7.1,1 065K
Брат 2,,https://www.kinopoisk.ru/film/41520/,Алексей Балабанов,Россия,2000,боевик,"Сергей Бодров мл., Виктор Сухоруков",127.0,8.2,1 056K
Иван Васильевич меняет профессию,,https://www.kinopoisk.ru/film/42664/,Леонид Гайдай,СССР,1973,комедия,"Александр Демьяненко, Юрий Яковлев",88.0,8.8,1 053K
Бойцовский клуб,Fight Club,https://www.kinopoisk.ru/film/361/,Дэвид Финчер,США,1999,триллер,"Эдвард Нортон, Брэд Питт",139.0,8.7,1 051K
Зверополис,Zootopia,https://www.kinopoisk.ru/film/775276/,Байрон Ховард,США,2016,мультфильм,"Джиннифер Гудвин, Джейсон Бейтман",108.0,8.3,1 028K
Побег из Шоушенка,The Shawshank Redemption,https://www.kinopoisk.ru/film/326/,Фрэнк Дарабонт,США,1994,драма,"Тим Роббинс, Морган Фриман",142.0,9.1,1 025K
Остров проклятых,Shutter Island,https://www.kinopoisk.ru/film/397667/,Мартин Скорсезе,США,2009,триллер,"Леонардо ДиКаприо, Марк Руффало",138.0,8.5,999 429
Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,https://www.kinopoisk.ru/film/689/,Крис Коламбус,Великобритания,2001,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",152.0,8.3,992 056
Зеленая миля,The Green Mile,https://www.kinopoisk.ru/film/435/,Фрэнк Дарабонт,США,1999,драма,"Том Хэнкс, Дэвид Морс",189.0,9.1,988 485
Начало,Inception,https://www.kinopoisk.ru/film/447301/,Кристофер Нолан,США,2010,фантастика,"Леонардо ДиКаприо, Джозеф Гордон-Левитт",148.0,8.7,983 607
Операция «Ы» и другие приключения Шурика,,https://www.kinopoisk.ru/film/42782/,Леонид Гайдай,СССР,1965,комедия,"Александр Демьяненко, Наталья Селезнёва",95.0,8.7,978 964
Любовь и голуби,,https://www.kinopoisk.ru/film/45146/,Владимир Меньшов,СССР,1984,мелодрама,"Александр Михайлов, Нина Дорошина",107.0,8.3,978 521
Интерстеллар,Interstellar,https://www.kinopoisk.ru/film/258687/,Кристофер Нолан,США,2014,фантастика,"Мэттью Макконахи, Энн Хэтэуэй",169.0,8.6,973 277
Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.kinopoisk.ru/film/4374/,Гор Вербински,США,2003,фэнтези,"Джонни Депп, Джеффри Раш",143.0,8.4,971 900
Холоп,,https://www.kinopoisk.ru/film/1183582/,Клим Шипенко,Россия,2019,комедия,"Милош Бикович, Александра Бортич",109.0,7.1,960 114
Форрест Гамп,Forrest Gump,https://www.kinopoisk.ru/film/448/,Роберт Земекис,США,1994,драма,"Том Хэнкс, Робин Райт",142.0,8.9,906 535
Веном,Venom,https://www.kinopoisk.ru/film/463634/,Рубен Фляйшер,США,2018,фантастика,"Том Харди, Мишель Уильямс",112.0,6.9,898 822
Переводчик,The Covenant,https://www.kinopoisk.ru/film/927898/,Гай Ричи,Великобритания,2022,боевик,"Джейк Джилленхол, Дар Салим",123.0,7.9,878 953
Легенда,Legend,https://www.kinopoisk.ru/film/839954/,Брайан Хелгеленд,Великобритания,2015,криминал,"Том Харди, Эмили Браунинг",131.0,7.2,869 016
Титаник,Titanic,https://www.kinopoisk.ru/film/2213/,Джеймс Кэмерон,США,1997,мелодрама,"Леонардо ДиКаприо, Кейт Уинслет",194.0,8.4,860 370
Мстители: Война бесконечности,Avengers: Infinity War,https://www.kinopoisk.ru/film/843649/,Энтони Руссо,США,2018,фантастика,"Роберт Дауни мл., Крис Хемсворт",149.0,8.1,847 725
Шрэк,Shrek,https://www.kinopoisk.ru/film/430/,Эндрю Адамсон,США,2001,мультфильм,"Майк Майерс, Эдди Мерфи",90.0,8.2,835 777
Области тьмы,Limitless,https://www.kinopoisk.ru/film/462606/,Нил Бёргер,США,2011,триллер,"Брэдли Купер, Роберт Де Ниро",105.0,8.0,826 009
Мстители: Финал,Avengers: Endgame,https://www.kinopoisk.ru/film/843650/,Энтони Руссо,США,2019,фантастика,"Роберт Дауни мл., Крис Эванс",181.0,7.9,795 839
Джентльмены удачи,,https://www.kinopoisk.ru/film/44386/,Александр Серый,СССР,1971,комедия,"Евгений Леонов, Георгий Вицин",84.0,8.6,794 070
Криминальное чтиво,Pulp Fiction,https://www.kinopoisk.ru/film/342/,Квентин Тарантино,США,1994,криминал,"Джон Траволта, Сэмюэл Л. Джексон",154.0,8.7,780 632
Рататуй,Ratatouille,https://www.kinopoisk.ru/film/89514/,Брэд Бёрд,США,2007,мультфильм,"Пэттон Освальт, Иэн Холм",111.0,8.0,776 627
Леон,Léon,https://www.kinopoisk.ru/film/389/,Люк Бессон,Франция,1994,боевик,"Жан Рено, Натали Портман",133.0,8.7,774 347
Дюна,Dune: Part One,https://www.kinopoisk.ru/film/409424/,Дени Вильнёв,США,2021,фантастика,"Тимоти Шаламе, Ребекка Фергюсон",155.0,7.7,773 133
Бриллиантовая рука,,https://www.kinopoisk.ru/film/46225/,Леонид Гайдай,СССР,1968,комедия,"Юрий Никулин, Андрей Миронов",94.0,8.5,771 205
"Поймай меня, если сможешь",Catch Me If You Can,https://www.kinopoisk.ru/film/324/,Стивен Спилберг,США,2002,криминал,"Леонардо ДиКаприо, Том Хэнкс",141.0,8.5,760 444
"Кавказская пленница, или Новые приключения Шурика",,https://www.kinopoisk.ru/film/44745/,Леонид Гайдай,СССР,1966,комедия,"Александр Демьяненко, Наталья Варлей",82.0,8.5,751 145
Операция «Фортуна»: Искусство побеждать,Operation Fortune: Ruse de Guerre,https://www.kinopoisk.ru/film/1405508/,Гай Ричи,Великобритания,2022,боевик,"Джейсон Стэйтем, Обри Плаза",114.0,7.1,748 139
Стражи Галактики,Guardians of the Galaxy,https://www.kinopoisk.ru/film/689066/,Джеймс Ганн,США,2014,фантастика,"Крис Пратт, Зои Салдана",121.0,7.9,745 950
Вышка,Fall,https://www.kinopoisk.ru/film/4542208/,Скотт Манн,Великобритания,2022,триллер,"Грейс Кэролайн Карри, Вирджиния Гарднер",107.0,6.7,744 029
Матрица,The Matrix,https://www.kinopoisk.ru/film/301/,Лана Вачовски,США,1999,фантастика,"Киану Ривз, Лоренс Фишбёрн",136.0,8.5,731 007
Доктор Стрэндж,Doctor Strange,https://www.kinopoisk.ru/film/409600/,Скотт Дерриксон,США,2016,фантастика,"Бенедикт Камбербэтч, Тильда Суинтон",115.0,7.5,727 322
Достучаться до небес,Knockin' on Heaven's Door,https://www.kinopoisk.ru/film/32898/,Томас Ян,Германия,1997,драма,"Тиль Швайгер, Ян Йозеф Лиферс",87.0,8.6,725 383
Темный рыцарь,The Dark Knight,https://www.kinopoisk.ru/film/111543/,Кристофер Нолан,США,2008,фантастика,"Кристиан Бэйл, Хит Леджер",152.0,8.5,724 780
Тайна Коко,Coco,https://www.kinopoisk.ru/film/679486/,Ли Анкрич,США,2017,мультфильм,"Энтони Гонсалес, Гаэль Гарсиа Берналь",105.0,8.7,724 170
Москва слезам не верит,,https://www.kinopoisk.ru/film/46708/,Владимир Меньшов,СССР,1979,мелодрама,"Вера Алентова, Ирина Муравьёва",150.0,8.4,720 815
Законопослушный гражданин,Law Abiding Citizen,https://www.kinopoisk.ru/film/406408/,Ф. Гэри Грей,США,2009,боевик,"Джейми Фокс, Джерард Батлер",108.0,8.0,719 640
Батя,,https://www.kinopoisk.ru/film/1326397/,Дмитрий Ефимович,Россия,2020,комедия,"Владимир Вдовиченков, Андрей Андреев",76.0,7.7,715 932
Джанго освобожденный,Django Unchained,https://www.kinopoisk.ru/film/586397/,Квентин Тарантино,США,2012,вестерн,"Джейми Фокс, Кристоф Вальц",165.0,8.2,712 661
Мстители,The Avengers,https://www.kinopoisk.ru/film/263531/,Джосс Уидон,США,2012,фантастика,"Роберт Дауни мл., Крис Эванс",137.0,7.9,707 422
Король Лев,The Lion King,https://www.kinopoisk.ru/film/2360/,Роджер Аллерс,США,1994,мультфильм,"Мэттью Бродерик, Джереми Айронс",88.0,8.8,704 557
Иллюзия обмана,Now You See Me,https://www.kinopoisk.ru/film/522892/,Луи Летерье,США,2013,криминал,"Джесси Айзенберг, Марк Руффало",115.0,7.7,697 677
ВАЛЛ·И,WALL·E,https://www.kinopoisk.ru/film/279102/,Эндрю Стэнтон,США,2008,мультфильм,"Бен Бертт, Элисса Найт",98.0,8.4,693 499
Жил-был пёс,,https://www.kinopoisk.ru/film/45319/,Эдуард Назаров,СССР,1982,мультфильм,"Георгий Бурков, Армен Джигарханян",10.0,9.2,692 970
Гладиатор,Gladiator,https://www.kinopoisk.ru/film/474/,Ридли Скотт,США,2000,история,"Рассел Кроу, Хоакин Феникс",155.0,8.6,685 374
Мажор в Сочи,,https://www.kinopoisk.ru/film/5078983/,Никита Власов,Россия,2022,приключения,"Павел Прилучный, Павел Чинарёв",109.0,7.1,679 443
Дэдпул,Deadpool,https://www.kinopoisk.ru/film/462360/,Тим Миллер,США,2016,боевик,"Райан Рейнольдс, Морена Баккарин",108.0,7.6,675 821
Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,https://www.kinopoisk.ru/film/322/,Альфонсо Куарон,Великобритания,2004,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",142.0,8.2,675 458
Ford против Ferrari,Ford v Ferrari,https://www.kinopoisk.ru/film/835086/,Джеймс Мэнголд,США,2019,биография,"Кристиан Бэйл, Мэтт Дэймон",152.0,8.2,675 293
Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,https://www.kinopoisk.ru/film/63991/,Гор Вербински,США,2006,фэнтези,"Джонни Депп, Орландо Блум",151.0,8.1,671 156
Железный человек,Iron Man,https://www.kinopoisk.ru/film/61237/,Джон Фавро,США,2008,фантастика,"Роберт Дауни мл., Джефф Бриджес",126.0,8.0,669 356
Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,https://www.kinopoisk.ru/film/328/,Питер Джексон,Новая Зеландия,2001,фэнтези,"Элайджа Вуд, Иэн Маккеллен",178.0,8.6,666 928
Пятый элемент,The Fifth Element,https://www.kinopoisk.ru/film/2656/,Люк Бессон,Франция,1997,фантастика,"Брюс Уиллис, Милла Йовович",126.0,8.1,664 495
Шерлок Холмс,Sherlock Holmes,https://www.kinopoisk.ru/film/420923/,Гай Ричи,США,2009,боевик,"Роберт Дауни мл., Джуд Лоу",128.0,8.1,663 615
Как приручить дракона,How to Train Your Dragon,https://www.kinopoisk.ru/film/280172/,Дин ДеБлуа,США,2010,мультфильм,"Джей Барушель, Джерард Батлер",98.0,8.2,663 333
Паразиты,Gisaengchung,https://www.kinopoisk.ru/film/1043758/,Пон Джун-хо,Корея Южная,2019,драма,"Сон Кан-хо, Ли Сон-гюн",131.0,8.0,660 268
Назад в будущее,Back to the Future,https://www.kinopoisk.ru/film/476/,Роберт Земекис,США,1985,фантастика,"Майкл Дж. Фокс, Кристофер Ллойд",116.0,8.6,658 547
Девчата,,https://www.kinopoisk.ru/film/44168/,Юрий Чулюкин,СССР,1962,мелодрама,"Надежда Румянцева, Николай Рыбников",92.0,8.4,655 946
Гарри Поттер и Тайная комната,Harry Potter and the Chamber of Secrets,https://www.kinopoisk.ru/film/688/,Крис Коламбус,Великобритания,2002,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",161.0,8.1,650 546
Марсианин,The Martian,https://www.kinopoisk.ru/film/841700/,Ридли Скотт,США,2015,фантастика,"Мэтт Дэймон, Джессика Честейн",144.0,7.8,649 410
Один дома 2: Затерянный в Нью-Йорке,Home Alone 2: Lost in New York,https://www.kinopoisk.ru/film/5928/,Крис Коламбус,США,1992,комедия,"Маколей Калкин, Джо Пеши",119.0,8.0,628 070
Дьявол носит Prada,The Devil Wears Prada,https://www.kinopoisk.ru/film/104992/,Дэвид Фрэнкел,США,2006,драма,"Мэрил Стрип, Энн Хэтэуэй",109.0,7.7,625 466
Бесславные ублюдки,Inglourious Basterds,https://www.kinopoisk.ru/film/9691/,Квентин Тарантино,Германия,2009,боевик,"Брэд Питт, Кристоф Вальц",153.0,8.0,621 455
Головоломка,Inside Out,https://www.kinopoisk.ru/film/645118/,Пит Доктер,США,2015,мультфильм,"Эми Полер, Филлис Смит",95.0,8.1,621 368
Т-34,,https://www.kinopoisk.ru/film/930878/,Алексей Сидоров,Россия,2018,драма,"Александр Петров, Виктор Добронравов",139.0,6.8,621 204
Майор Гром: Чумной Доктор,,https://www.kinopoisk.ru/film/1109271/,Олег Трофим,Россия,2021,боевик,"Тихон Жизневский, Любовь Аксёнова",136.0,7.2,621 026
Душа,Soul,https://www.kinopoisk.ru/film/775273/,Пит Доктер,США,2020,мультфильм,"Джейми Фокс, Тина Фей",106.0,8.4,620 900
Унесённые призраками,Sen to Chihiro no kamikakushi,https://www.kinopoisk.ru/film/370/,Хаяо Миядзаки,Япония,2001,аниме,"Руми Хиираги, Мию Ирино",125.0,8.5,616 960
Круэлла,Cruella,https://www.kinopoisk.ru/film/804662/,Крэйг Гиллеспи,США,2021,комедия,"Эмма Стоун, Эмма Томпсон",134.0,7.6,615 621
Престиж,The Prestige,https://www.kinopoisk.ru/film/195334/,Кристофер Нолан,Великобритания,2006,триллер,"Хью Джекман, Кристиан Бэйл",130.0,8.5,614 514
Исчезнувшая,Gone Girl,https://www.kinopoisk.ru/film/692861/,Дэвид Финчер,США,2014,триллер,"Бен Аффлек, Розамунд Пайк",149.0,8.0,613 071
Однажды в… Голливуде,Once Upon a Time in... Hollywood,https://www.kinopoisk.ru/film/1047883/,Квентин Тарантино,США,2019,драма,"Леонардо ДиКаприо, Брэд Питт",161.0,7.7,611 583
Джокер,Joker,https://www.kinopoisk.ru/film/1048334/,Тодд Филлипс,США,2019,драма,"Хоакин Феникс, Роберт Де Ниро",122.0,8.0,611 341
Пираты Карибского моря: На краю света,Pirates of the Caribbean: At World's End,https://www.kinopoisk.ru/film/102124/,Гор Вербински,США,2007,приключения,"Джонни Депп, Джеффри Раш",169.0,8.1,606 797
Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows - Part 2,https://www.kinopoisk.ru/film/407636/,Дэвид Йейтс,Великобритания,2011,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",130.0,8.2,602 691
Служебный роман,,https://www.kinopoisk.ru/film/43869/,Эльдар Рязанов,СССР,1977,мелодрама,"Андрей Мягков, Алиса Фрейндлих",159.0,8.3,602 561
Первому игроку приготовиться,Ready Player One,https://www.kinopoisk.ru/film/538225/,Стивен Спилберг,США,2018,фантастика,"Тай Шеридан, Оливия Кук",140.0,7.4,601 539
Алита: Боевой ангел,Alita: Battle Angel,https://www.kinopoisk.ru/film/88173/,Роберт Родригес,США,2019,фантастика,"Роза Салазар, Кристоф Вальц",121.0,7.2,599 261
Драйв,Drive,https://www.kinopoisk.ru/film/276598/,Николас Виндинг Рефн,США,2011,криминал,"Райан Гослинг, Кэри Маллиган",100.0,7.3,597 500
Главный герой,Free Guy,https://www.kinopoisk.ru/film/1199100/,Шон Леви,США,2021,фантастика,"Райан Рейнольдс, Джоди Комер",115.0,7.4,597 295
Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,https://www.kinopoisk.ru/film/3498/,Питер Джексон,Новая Зеландия,2003,фэнтези,"Элайджа Вуд, Вигго Мортенсен",201.0,8.7,594 695
Большой куш,Snatch,https://www.kinopoisk.ru/film/526/,Гай Ричи,Великобритания,2000,криминал,"Джейсон Стэйтем, Стивен Грэм",104.0,8.6,593 817
Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,https://www.kinopoisk.ru/film/278522/,Питер Джексон,Новая Зеландия,2012,фэнтези,"Мартин Фриман, Иэн Маккеллен",169.0,8.1,589 948
Хатико: Самый верный друг,Hachi: A Dog's Tale,https://www.kinopoisk.ru/film/387556/,Лассе Халльстрём,США,2008,драма,"Ричард Гир, Джоан Аллен",89.0,8.4,589 326
Лига справедливости Зака Снайдера,Zack Snyder's Justice League,https://www.kinopoisk.ru/film/1387021/,Зак Снайдер,США,2021,фантастика,"Бен Аффлек, Галь Гадот",242.0,7.8,585 095
Последний богатырь,,https://www.kinopoisk.ru/film/976642/,Дмитрий Дьяченко,Россия,2017,фэнтези,"Виктор Хориняк, Мила Сивацкая",114.0,7.1,584 018
Джон Уик 4,John Wick: Chapter 4,https://www.kinopoisk.ru/film/1267348/,Чад Стахелски,США,2023,боевик,"Киану Ривз, Донни Йен",169.0,7.6,582 916
Терминатор 2: Судный день,Terminator 2: Judgment Day,https://www.kinopoisk.ru/film/444/,Джеймс Кэмерон,США,1991,фантастика,"Арнольд Шварценеггер, Линда Хэмилтон",137.0,8.4,581 741
Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,https://www.kinopoisk.ru/film/312/,Питер Джексон,Новая Зеландия,2002,фэнтези,"Элайджа Вуд, Иэн Маккеллен",179.0,8.6,580 845
Всё везде и сразу,Everything Everywhere All at Once,https://www.kinopoisk.ru/film/1322324/,Дэн Кван,США,2021,фантастика,"Мишель Йео, Джейми Ли Кёртис",139.0,7.2,580 540
Конёк-Горбунок,,https://www.kinopoisk.ru/film/1045583/,Олег Погодин,Россия,2021,фэнтези,"Антон Шагин, Павел Деревянко",111.0,7.2,577 119
Поезд в Пусан,Busanhaeng,https://www.kinopoisk.ru/film/977288/,Ён Сан-хо,Корея Южная,2016,ужасы,"Кон Ю, Ма Дон-сок",118.0,7.2,575 214
Беспринципные в деревне,,https://www.kinopoisk.ru/film/5129252/,Роман Прыгунов,Россия,2023,комедия,"Павел Деревянко, Оксана Акиньшина",86.0,6.5,571 523
Легенда №17,,https://www.kinopoisk.ru/film/601564/,Николай Лебедев,Россия,2012,биография,"Данила Козловский, Олег Меньшиков",134.0,8.0,570 084
Шоу Трумана,The Truman Show,https://www.kinopoisk.ru/film/4541/,Питер Уир,США,1998,драма,"Джим Керри, Лора Линни",103.0,8.3,568 804
Три богатыря и Конь на троне,,https://www.kinopoisk.ru/film/4419497/,Дарина Шмидт,Россия,2021,мультфильм,"Олег Куликович, Валерий Соловьев",87.0,7.5,567 963
Чебурашка,,https://www.kinopoisk.ru/film/4370148/,Дмитрий Дьяченко,Россия,2022,семейный,"Сергей Гармаш, Ольга Кузьмина",113.0,7.4,567 791
Холодное сердце,Frozen,https://www.kinopoisk.ru/film/493208/,Крис Бак,США,2013,мультфильм,"Кристен Белл, Идина Мензел",102.0,7.9,567 332
Живая сталь,Real Steel,https://www.kinopoisk.ru/film/88198/,Шон Леви,США,2011,фантастика,"Хью Джекман, Дакота Гойо",127.0,7.7,565 850
Брюс Всемогущий,Bruce Almighty,https://www.kinopoisk.ru/film/39577/,Том Шэдьяк,США,2003,фэнтези,"Джим Керри, Морган Фриман",97.0,7.7,558 054
Гарри Поттер и Кубок огня,Harry Potter and the Goblet of Fire,https://www.kinopoisk.ru/film/8408/,Майк Ньюэлл,Великобритания,2005,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",157.0,8.0,555 637
Маска,The Mask,https://www.kinopoisk.ru/film/6039/,Чак Рассел,США,1994,комедия,"Джим Керри, Кэмерон Диас",101.0,8.0,554 415
Чарли и шоколадная фабрика,Charlie and the Chocolate Factory,https://www.kinopoisk.ru/film/38905/,Тим Бёртон,США,2005,мюзикл,"Джонни Депп, Фредди Хаймор",115.0,7.6,552 802
Константин: Повелитель тьмы,Constantine,https://www.kinopoisk.ru/film/3793/,Фрэнсис Лоуренс,США,2005,фэнтези,"Киану Ривз, Рэйчел Вайс",121.0,7.9,550 590
Человек-паук: Через вселенные,Spider-Man: Into the Spider-Verse,https://www.kinopoisk.ru/film/920265/,Боб Персичетти,Канада,2018,мультфильм,"Шамеик Мур, Джейк Джонсон",117.0,8.2,547 513
Люди в чёрном,Men in Black,https://www.kinopoisk.ru/film/1091/,Барри Зонненфельд,США,1997,фантастика,"Томми Ли Джонс, Уилл Смит",98.0,8.0,547 036
Грань будущего,Edge of Tomorrow,https://www.kinopoisk.ru/film/505851/,Даг Лайман,США,2014,фантастика,"Том Круз, Эмили Блант",113.0,7.9,546 095
Счастливое число Слевина,Lucky Number Slevin,https://www.kinopoisk.ru/film/86326/,Пол Макгиган,США,2005,триллер,"Джош Хартнетт, Брюс Уиллис",110.0,8.1,544 862
Омерзительная восьмерка,The Hateful Eight,https://www.kinopoisk.ru/film/819101/,Квентин Тарантино,США,2015,вестерн,"Курт Рассел, Сэмюэл Л. Джексон",168.0,8.0,542 773
Довод,Tenet,https://www.kinopoisk.ru/film/1236063/,Кристофер Нолан,Великобритания,2020,фантастика,"Джон Дэвид Вашингтон, Роберт Паттинсон",150.0,7.5,542 503
Корпорация монстров,"Monsters, Inc.",https://www.kinopoisk.ru/film/458/,Пит Доктер,США,2001,мультфильм,"Джон Гудман, Билли Кристал",92.0,8.1,542 382
Аквамен,Aquaman,https://www.kinopoisk.ru/film/470178/,Джеймс Ван,США,2018,фэнтези,"Джейсон Момоа, Эмбер Хёрд",143.0,6.8,540 057
Тор: Рагнарёк,Thor: Ragnarok,https://www.kinopoisk.ru/film/822709/,Тайка Вайтити,США,2017,фантастика,"Крис Хемсворт, Том Хиддлстон",130.0,7.7,539 853
Стражи Галактики. Часть 2,Guardians of the Galaxy Vol. 2,https://www.kinopoisk.ru/film/841263/,Джеймс Ганн,США,2017,фантастика,"Крис Пратт, Зои Салдана",136.0,7.8,534 654
Человек-паук: Вдали от дома,Spider-Man: Far from Home,https://www.kinopoisk.ru/film/1008445/,Джон Уоттс,США,2019,фантастика,"Том Холланд, Сэмюэл Л. Джексон",129.0,7.4,533 062
Баба Яга спасает мир,,https://www.kinopoisk.ru/film/4536580/,Карен Захаров,Россия,2023,фэнтези,"Глафира Тарханова, Людмила Артемьева",90.0,7.2,532 781
Время,In Time,https://www.kinopoisk.ru/film/517988/,Эндрю Никкол,США,2011,фантастика,"Джастин Тимберлейк, Аманда Сайфред",109.0,7.3,532 362
Молчание ягнят,The Silence of the Lambs,https://www.kinopoisk.ru/film/345/,Джонатан Демме,США,1990,триллер,"Джоди Фостер, Энтони Хопкинс",118.0,8.3,529 994
"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",https://www.kinopoisk.ru/film/522/,Гай Ричи,Великобритания,1998,боевик,"Джейсон Флеминг, Декстер Флетчер",107.0,8.6,529 678
Иван Васильевич меняет всё,,https://www.kinopoisk.ru/film/5394690/,Миша Семичев,Россия,2023,комедия,"Тимур Батрутдинов, Демис Карибидис",106.0,6.5,527 440
Человек-паук,Spider-Man,https://www.kinopoisk.ru/film/838/,Сэм Рэйми,США,2002,фантастика,"Тоби Магуайр, Уиллем Дефо",121.0,7.7,525 089
Отряд самоубийц,Suicide Squad,https://www.kinopoisk.ru/film/468522/,Дэвид Эйр,США,2016,фантастика,"Марго Робби, Уилл Смит",118.0,6.1,524 450
Гарри Поттер и Орден Феникса,Harry Potter and the Order of the Phoenix,https://www.kinopoisk.ru/film/48356/,Дэвид Йейтс,Великобритания,2007,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",138.0,7.8,520 381
Я – легенда,I Am Legend,https://www.kinopoisk.ru/film/195524/,Фрэнсис Лоуренс,США,2007,ужасы,"Уилл Смит, Алиси Брага",96.0,7.9,520 376
Лулу и Бриггс,Dog,https://www.kinopoisk.ru/film/1355139/,Рид Кэролин,США,2021,комедия,"Ченнинг Татум, Итан Сапли",101.0,7.4,518 829
Гарри Поттер и Принц-полукровка,Harry Potter and the Half-Blood Prince,https://www.kinopoisk.ru/film/89515/,Дэвид Йейтс,Великобритания,2009,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",153.0,7.8,516 426
День сурка,Groundhog Day,https://www.kinopoisk.ru/film/527/,Харольд Рэмис,США,1993,фэнтези,"Билл Мюррей, Энди Макдауэлл",101.0,8.1,515 022
Мадагаскар,Madagascar,https://www.kinopoisk.ru/film/6006/,Эрик Дарнелл,США,2005,мультфильм,"Бен Стиллер, Крис Рок",86.0,8.0,514 381
Семь,Se7en,https://www.kinopoisk.ru/film/377/,Дэвид Финчер,США,1995,триллер,"Брэд Питт, Морган Фриман",127.0,8.3,513 883
Отель «Гранд Будапешт»,The Grand Budapest Hotel,https://www.kinopoisk.ru/film/683999/,Уэс Андерсон,США,2014,комедия,"Рэйф Файнс, Тони Револори",100.0,7.9,510 946
Kingsman: Секретная служба,Kingsman: The Secret Service,https://www.kinopoisk.ru/film/749540/,Мэттью Вон,Великобритания,2015,боевик,"Тэрон Эджертон, Колин Фёрт",130.0,7.7,510 847
Отпуск по обмену,The Holiday,https://www.kinopoisk.ru/film/104927/,Нэнси Майерс,США,2006,мелодрама,"Кэмерон Диас, Кейт Уинслет",136.0,7.9,510 360
Список Шиндлера,Schindler's List,https://www.kinopoisk.ru/film/329/,Стивен Спилберг,США,1993,драма,"Лиам Нисон, Бен Кингсли",195.0,8.8,509 840
Лучшее предложение,La migliore offerta,https://www.kinopoisk.ru/film/681849/,Джузеппе Торнаторе,Италия,2012,триллер,"Джеффри Раш, Джим Стёрджесс",131.0,8.0,509 720
Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,https://www.kinopoisk.ru/film/81555/,Дэвид Финчер,США,2008,драма,"Брэд Питт, Кейт Бланшетт",166.0,8.1,509 328
Джон Уик,John Wick,https://www.kinopoisk.ru/film/762738/,Чад Стахелски,США,2014,боевик,"Киану Ривз, Микаэл Нюквист",101.0,7.0,509 076
Эффект бабочки,The Butterfly Effect,https://www.kinopoisk.ru/film/5167/,Эрик Бресс,США,2003,фантастика,"Эштон Кутчер, Эми Смарт",113.0,8.2,508 926
Дэдпул 2,Deadpool 2,https://www.kinopoisk.ru/film/961715/,Дэвид Литч,США,2018,фантастика,"Райан Рейнольдс, Джош Бролин",119.0,7.4,508 759
