Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Санктум,Sanctum,https://www.kinopoisk.ru/film/462669/,Алистер Грирсон,США,2010,триллер,109.0,6.7,80220,Ричард Роксбург,Йоан Гриффит,0,0
Джек — покоритель великанов,Jack the Giant Slayer,https://www.kinopoisk.ru/film/462453/,Брайан Сингер,США,2013,фэнтези,114.0,6.3,80137,Николас Холт,Элинор Томлинсон,0,0
Заступник,The Marksman,https://www.kinopoisk.ru/film/1152767/,Роберт Лоренц,США,2020,боевик,108.0,6.3,80033,Лиам Нисон,Кэтрин Уинник,0,1
Рестлер,The Wrestler,https://www.kinopoisk.ru/film/402514/,Даррен Аронофски,США,2008,драма,105.0,7.5,80003,Микки Рурк,Мариса Томей,1,1
Хроника,Chronicle,https://www.kinopoisk.ru/film/559242/,Джош Транк,США,2012,фантастика,83.0,6.7,79957,Дэйн ДеХаан,Алекс Расселл,0,0
Новейший завет,Le tout nouveau testament,https://www.kinopoisk.ru/film/840470/,Жако ван Дормель,Бельгия,2015,фэнтези,114.0,6.9,79954,Бенуа Пульворд,Катрин Денёв,0,1
Одна жизнь,One Life,https://www.kinopoisk.ru/film/5105855/,Джеймс Хоуз,Великобритания,2023,драма,109.0,8.6,79923,Энтони Хопкинс,Хелена Бонем Картер,0,4
Несломленный,Unbroken,https://www.kinopoisk.ru/film/577211/,Анджелина Джоли,США,2014,биография,137.0,7.4,79891,Джек О’Коннелл,Донал Глисон,0,0
Час пик 3,Rush Hour 3,https://www.kinopoisk.ru/film/22978/,Бретт Рэтнер,США,2007,боевик,91.0,7.0,79876,Крис Такер,Джеки Чан,0,0
Развод по-американски,The Break-Up,https://www.kinopoisk.ru/film/102160/,Пейтон Рид,США,2006,драма,106.0,6.6,79795,Винс Вон,Дженнифер Энистон,0,0
Волшебная страна,Finding Neverland,https://www.kinopoisk.ru/film/4511/,Марк Форстер,США,2004,драма,97.0,7.9,79682,Джонни Депп,Кейт Уинслет,0,7
Ковбои против пришельцев,Cowboys & Aliens,https://www.kinopoisk.ru/film/81961/,Джон Фавро,США,2011,фантастика,119.0,5.9,79674,Дэниэл Крэйг,Харрисон Форд,0,1
Шоугелз,Showgirls,https://www.kinopoisk.ru/film/5954/,Пол Верховен,Франция,1995,драма,128.0,6.9,79634,Элизабет Беркли,Кайл Маклоклен,0,0
Свет в океане,The Light Between Oceans,https://www.kinopoisk.ru/film/722995/,Дерек Сиенфрэнс,Великобритания,2016,драма,130.0,7.3,79598,Майкл Фассбендер,Алисия Викандер,0,1
Из моего окна,A través de mi ventana,https://www.kinopoisk.ru/film/4442784/,Марсаль Форес,Испания,2022,драма,116.0,6.2,79593,Клара Галле,Хулио Пенья Фернандес,0,0
Бедные-несчастные,Poor Things,https://www.kinopoisk.ru/film/4396438/,Йоргос Лантимос,Ирландия,2023,драма,141.0,7.7,79530,Эмма Стоун,Уиллем Дефо,2,3
El Camino: Во все тяжкие,El Camino: A Breaking Bad Movie,https://www.kinopoisk.ru/film/1209193/,Винс Гиллиган,США,2019,драма,122.0,7.2,79527,Аарон Пол,Джесси Племонс,0,0
"Все умрут, а я останусь",,https://www.kinopoisk.ru/film/412248/,Валерия Гай Германика,Россия,2008,драма,80.0,5.8,79493,Полина Филоненко,Агния Кузнецова,0,0
Корабль в Пусан,Neukdaesanyang,https://www.kinopoisk.ru/film/4539537/,Ким Хон-сон,Корея Южная,2022,боевик,120.0,5.8,79367,Со Ин-гук,Чан Дон-юн,0,0
Земля до начала времен,The Land Before Time,https://www.kinopoisk.ru/film/7107/,Дон Блут,США,1988,мультфильм,69.0,8.0,79227,Пэт Хингл,Хелен Шейвер,0,0
Иррациональный человек,Irrational Man,https://www.kinopoisk.ru/film/840992/,Вуди Аллен,США,2015,драма,95.0,6.8,79184,Хоакин Феникс,Эмма Стоун,7,5
Лолита,Lolita,https://www.kinopoisk.ru/film/12131/,Эдриан Лайн,Франция,1997,драма,137.0,7.5,79134,Джереми Айронс,Доминик Суэйн,1,1
Неверная,Unfaithful,https://www.kinopoisk.ru/film/869/,Эдриан Лайн,Франция,2002,триллер,124.0,7.4,79094,Дайан Лэйн,Ричард Гир,1,0
Полицейский с Рублевки. Новогодний беспредел 2,,https://www.kinopoisk.ru/film/1255106/,Илья Куликов,Россия,2019,комедия,85.0,5.8,79091,Сергей Бурунов,Роман Попов,0,0
Бронкская история,A Bronx Tale,https://www.kinopoisk.ru/film/7466/,Роберт Де Ниро,США,1993,драма,121.0,8.0,79086,Роберт Де Ниро,Чазз Пальминтери,0,5
Другой мир: Пробуждение,Underworld: Awakening,https://www.kinopoisk.ru/film/472368/,Монс Морлинд,США,2012,фэнтези,85.0,6.3,78976,Кейт Бекинсейл,Стивен Ри,0,1
Хижина,The Shack,https://www.kinopoisk.ru/film/760904/,Стюарт Хэзелдайн,США,2017,фэнтези,132.0,7.0,78980,Сэм Уортингтон,Октавия Спенсер,0,0
Сторож,,https://www.kinopoisk.ru/film/1046033/,Юрий Быков,Россия,2019,драма,106.0,6.6,78954,Юрий Быков,Владислав Абашин,0,0
Generation П,,https://www.kinopoisk.ru/film/104893/,Виктор Гинзбург,Россия,2011,фантастика,120.0,6.7,78923,Владимир Епифанцев,Михаил Ефремов,0,0
14+,,https://www.kinopoisk.ru/film/781432/,Андрей Зайцев,Россия,2015,мелодрама,106.0,6.6,78866,Глеб Калюжный,Ульяна Васькович,0,0
Соседи. На тропе войны,Neighbors,https://www.kinopoisk.ru/film/602677/,Николас Столлер,США,2014,комедия,97.0,6.0,78786,Сет Роген,Роуз Бирн,0,0
Скайлайн,Skyline,https://www.kinopoisk.ru/film/493223/,Колин Штраус,США,2010,фантастика,88.0,4.7,78592,Эрик Бальфур,Скотти Томпсон,0,0
Хозяин морей: На краю Земли,Master and Commander: The Far Side of the World,https://www.kinopoisk.ru/film/5565/,Питер Уир,США,2003,боевик,138.0,7.6,78497,Рассел Кроу,Пол Беттани,4,3
Коты-аристократы,The AristoCats,https://www.kinopoisk.ru/film/26656/,Вольфганг Райтерман,США,1970,мультфильм,78.0,8.1,78455,Фил Харрис,Ева Габор,0,0
Римские приключения,To Rome with Love,https://www.kinopoisk.ru/film/585340/,Вуди Аллен,США,2012,мелодрама,112.0,7.0,78431,Вуди Аллен,Алек Болдуин,7,1
Хранитель Луны,"Mune, le gardien de la lune",https://www.kinopoisk.ru/film/842910/,Александр Эбоян,Франция,2014,мультфильм,85.0,7.4,78398,Омар Си,Изиа Ижлен,0,0
Пункт назначения 3,Final Destination 3,https://www.kinopoisk.ru/film/89674/,Джеймс Вон,США,2006,ужасы,93.0,6.4,78395,Мэри Элизабет Уинстэд,Райан Мерриман,0,0
Джейсон Борн,Jason Bourne,https://www.kinopoisk.ru/film/854942/,Пол Гринграсс,США,2016,боевик,123.0,6.2,78352,Мэтт Дэймон,Алисия Викандер,1,0
"Порнолоджи, или Милашка как ты",A Nice Girl Like You,https://www.kinopoisk.ru/film/809733/,Крис Райделл,США,2020,комедия,94.0,6.2,78317,Люси Хейл,Леонидас Гулаптис,0,0
Супер 8,Super 8,https://www.kinopoisk.ru/film/517433/,Джей Джей Абрамс,США,2011,фантастика,108.0,6.5,78314,Джоэл Кортни,Эль Фаннинг,0,0
Пара на праздники,Holidate,https://www.kinopoisk.ru/film/1245693/,Джон Уайтселл,США,2020,мелодрама,104.0,6.6,78287,Эмма Робертс,Люк Брейси,0,0
Гарфилд 2: История двух кошечек,Garfield: A Tale of Two Kitties,https://www.kinopoisk.ru/film/104937/,Тим Хилл,Великобритания,2006,комедия,82.0,6.3,78234,Брекин Мейер,Дженнифер Лав Хьюитт,0,0
Рассказы,,https://www.kinopoisk.ru/film/656093/,Михаил Сегал,Россия,2012,драма,105.0,7.1,78150,Андрей Мерзликин,Игорь Угольников,0,0
Элементарно,Elemental,https://www.kinopoisk.ru/film/4889667/,Питер Сон,США,2023,мультфильм,101.0,7.7,78099,Леа Льюис,Мамуду Ати,0,0
Фантастическая четверка,Fantastic Four,https://www.kinopoisk.ru/film/471642/,Джош Транк,США,2015,фантастика,100.0,4.3,78001,Майлз Теллер,Майкл Б. Джордан,0,0
Томирис,,https://www.kinopoisk.ru/film/1127372/,Акан Сатаев,Казахстан,2019,фэнтези,155.0,7.6,77974,Альмира Турсын,Адиль Ахметов,0,0
Жених напрокат,Something Borrowed,https://www.kinopoisk.ru/film/463149/,Люк Гринфилд,США,2011,мелодрама,113.0,6.2,77897,Джиннифер Гудвин,Кейт Хадсон,0,0
Остров на троих,Three,https://www.kinopoisk.ru/film/79893/,Стюарт Рэффил,США,2005,триллер,95.0,6.0,77879,Билли Зейн,Келли Брук,0,0
Цыпочка,The Hot Chick,https://www.kinopoisk.ru/film/314/,Том Брэди,США,2002,фэнтези,104.0,6.9,77870,Роб Шнайдер,Анна Фэрис,0,0
Коммандос,Commando,https://www.kinopoisk.ru/film/2238/,Марк Л. Лестер,США,1985,боевик,87.0,7.4,77643,Арнольд Шварценеггер,Рэй Дон Чонг,0,0
Английский пациент,The English Patient,https://www.kinopoisk.ru/film/7636/,Энтони Мингелла,США,1996,драма,162.0,7.9,77601,Рэйф Файнс,Кристин Скотт Томас,1,2
Красная Шапочка,Red Riding Hood,https://www.kinopoisk.ru/film/470179/,Кэтрин Хардвик,США,2011,ужасы,96.0,6.1,77577,Аманда Сайфред,Гари Олдман,0,0
Бабадук,The Babadook,https://www.kinopoisk.ru/film/675216/,Дженнифер Кент,Австралия,2014,ужасы,93.0,5.7,77571,Эсси Дэвис,Ной Уайзман,0,0
Игра Ганнибала,Night Hunter,https://www.kinopoisk.ru/film/1009626/,Дэвид Рэймонд,Канада,2018,детектив,98.0,6.5,77513,Генри Кавилл,Александра Даддарио,0,0
«Весёлые» каникулы,Get the Gringo,https://www.kinopoisk.ru/film/492171/,Адриан Грюнберг,США,2011,боевик,96.0,7.1,77498,Мэл Гибсон,Кевин Эрнандес,0,0
Забирая жизни,Taking Lives,https://www.kinopoisk.ru/film/23148/,Ди Джей Карузо,США,2004,триллер,103.0,7.2,77488,Анджелина Джоли,Итан Хоук,0,1
Зелёный Шершень,The Green Hornet,https://www.kinopoisk.ru/film/290751/,Мишель Гондри,США,2011,боевик,119.0,6.0,77475,Сет Роген,Джей Чоу,0,0
Шпион по соседству,The Spy Next Door,https://www.kinopoisk.ru/film/431539/,Брайан Левант,США,2009,боевик,94.0,6.2,77461,Джеки Чан,Эмбер Валлетта,0,0
Баллада Бастера Скраггса,The Ballad of Buster Scruggs,https://www.kinopoisk.ru/film/1008879/,Итан Коэн,США,2018,вестерн,133.0,7.2,77450,Тим Блейк Нельсон,Джеймс Франко,2,1
Дитя робота,I Am Mother,https://www.kinopoisk.ru/film/1067645/,Грант Спьютор,Австралия,2018,фантастика,113.0,6.7,77401,Клара Ругор,Роуз Бирн,0,0
Самый лучший фильм 2,,https://www.kinopoisk.ru/film/416089/,Олег Фомин,Россия,2009,комедия,80.0,2.9,77386,Тимур Батрутдинов,Гарик Харламов,0,0
Пирамммида,,https://www.kinopoisk.ru/film/464942/,Эльдар Салаватов,Россия,2011,триллер,105.0,6.8,77332,Алексей Серебряков,Фёдор Бондарчук,0,0
Старый Генри,Old Henry,https://www.kinopoisk.ru/film/4293245/,Потси Пончироли,США,2021,вестерн,99.0,7.1,77321,Тим Блейк Нельсон,Скотт Хейз,0,0
Рио 2,Rio 2,https://www.kinopoisk.ru/film/677437/,Карлос Салдана,США,2014,мультфильм,101.0,6.7,77300,Энн Хэтэуэй,Джесси Айзенберг,0,2
Цена страсти,The Ledge,https://www.kinopoisk.ru/film/484621/,Мэтью Чэпмен,Германия,2011,триллер,101.0,7.2,77284,Чарли Ханнэм,Лив Тайлер,0,0
Ирония судьбы в Голливуде,About Fate,https://www.kinopoisk.ru/film/4448487/,Марюс Вайсберг,США,2022,мелодрама,103.0,6.7,77209,Эмма Робертс,Томас Манн,0,0
Дюна,Dune,https://www.kinopoisk.ru/film/2882/,Дэвид Линч,США,1984,фантастика,137.0,6.9,77170,Кайл Маклоклен,Юрген Прохнов,3,0
Пункт назначения 5,Final Destination 5,https://www.kinopoisk.ru/film/506349/,Стивен Куэйл,США,2011,ужасы,92.0,6.1,77105,Николас Д’Агосто,Эмма Белл,0,0
Пункт назначения 4,The Final Destination,https://www.kinopoisk.ru/film/405753/,Дэвид Р. Эллис,США,2009,ужасы,82.0,5.7,77085,Бобби Кампо,Шантель Ван Сантен,0,0
Тарзан. Легенда,The Legend of Tarzan,https://www.kinopoisk.ru/film/462491/,Дэвид Йейтс,Великобритания,2016,фэнтези,110.0,6.2,77081,Александр Скарсгард,Марго Робби,0,1
Август,August: Osage County,https://www.kinopoisk.ru/film/462273/,Джон Уэллс,США,2013,драма,121.0,7.4,77079,Мэрил Стрип,Джулия Робертс,0,2
У холмов есть глаза,The Hills Have Eyes,https://www.kinopoisk.ru/film/160931/,Александр Ажа,США,2006,ужасы,107.0,6.6,77038,Аарон Стэнфорд,Кэтлин Куинлэн,0,0
Короче,Downsizing,https://www.kinopoisk.ru/film/462200/,Александр Пэйн,США,2017,фантастика,135.0,5.7,76980,Мэтт Дэймон,Кристоф Вальц,3,0
Исчезнувший,My Son,https://www.kinopoisk.ru/film/1436464/,Кристиан Карион,Великобритания,2021,триллер,91.0,6.2,76890,Джеймс Макэвой,Клэр Фой,0,0
Выбор,The Choice,https://www.kinopoisk.ru/film/843209/,Росс Кац,США,2015,драма,111.0,7.0,76881,Бенджамин Уокер,Тереза Палмер,0,0
Уличный кот по кличке Боб,A Street Cat Named Bob,https://www.kinopoisk.ru/film/930442/,Роджер Споттисвуд,Великобритания,2016,драма,103.0,7.7,76844,Люк Тредэвэй,Боб,0,0
Последний киногерой,Last Action Hero,https://www.kinopoisk.ru/film/3513/,Джон Мактирнан,США,1993,фэнтези,130.0,7.4,76762,Арнольд Шварценеггер,Остин О’Брайен,0,0
Девятаев,,https://www.kinopoisk.ru/film/1249213/,Тимур Бекмамбетов,Россия,2021,военный,118.0,6.4,76747,Павел Прилучный,Павел Чинарёв,0,0
Дед Мороз и лето,,https://www.kinopoisk.ru/film/44110/,Валентин Караваев,СССР,1969,мультфильм,19.0,8.1,76747,Евгений Шутов,Евгений Весник,0,0
"Я, Франкенштейн","I, Frankenstein",https://www.kinopoisk.ru/film/461934/,Стюарт Битти,США,2013,фэнтези,92.0,5.3,76702,Аарон Экхарт,Ивонн Страховски,0,0
Волшебное кольцо,,https://www.kinopoisk.ru/film/45834/,Леонид Носырев,СССР,1979,мультфильм,19.0,8.6,76570,Евгений Леонов,Юрий Волынцев,0,0
Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,The French Dispatch,https://www.kinopoisk.ru/film/1211076/,Уэс Андерсон,США,2020,драма,107.0,7.5,76504,Джеффри Райт,Эдриан Броуди,1,1
Заклятье. Дом 32,Malasaña 32,https://www.kinopoisk.ru/film/1303058/,Альберт Пинто,Испания,2020,ужасы,104.0,5.8,76471,Бегонья Варгас,Иван Маркос,0,0
Бендер: Последняя афера,,https://www.kinopoisk.ru/film/4450232/,Игорь Зайцев,Россия,2021,приключения,97.0,7.0,76255,Сергей Безруков,Арам Вардеванян,0,0
Девять ярдов 2,The Whole Ten Yards,https://www.kinopoisk.ru/film/8047/,Ховард Дойч,США,2003,триллер,98.0,6.9,76252,Брюс Уиллис,Мэттью Перри,0,0
Конан-варвар,Conan the Barbarian,https://www.kinopoisk.ru/film/261271/,Маркус Ниспел,США,2011,фэнтези,112.0,5.7,76180,Джейсон Момоа,Стивен Лэнг,0,0
Миллион способов потерять голову,A Million Ways to Die in the West,https://www.kinopoisk.ru/film/722886/,Сет Макфарлейн,США,2014,комедия,116.0,6.2,76167,Сет Макфарлейн,Шарлиз Терон,0,3
Эскобар,Loving Pablo,https://www.kinopoisk.ru/film/929885/,Фернандо Леон Де Араноа,Испания,2017,биография,105.0,6.6,76132,Хавьер Бардем,Пенелопа Крус,0,5
Талли,Tully,https://www.kinopoisk.ru/film/977383/,Джейсон Райтман,США,2017,драма,94.0,7.1,76113,Шарлиз Терон,Маккензи Дэвис,2,3
Дом грёз,Dream House,https://www.kinopoisk.ru/film/468444/,Джим Шеридан,США,2011,триллер,92.0,6.9,76005,Дэниэл Крэйг,Рэйчел Вайс,2,0
Рубеж,,https://www.kinopoisk.ru/film/1002714/,Дмитрий Тюрин,Россия,2017,фантастика,98.0,6.8,75942,Павел Прилучный,Станислав Дужников,0,0
Эксперимент «Офис»,The Belko Experiment,https://www.kinopoisk.ru/film/893603/,Грег МакЛин,США,2017,ужасы,88.0,6.1,75765,Джон Галлахер мл.,Тони Голдуин,0,0
Трудный ребенок,Problem Child,https://www.kinopoisk.ru/film/17696/,Деннис Дуган,США,1990,комедия,81.0,7.0,75747,Джон Риттер,Джек Уорден,0,0
Знахарь,Znachor,https://www.kinopoisk.ru/film/80749/,Ежи Гоффман,Польша,1981,драма,133.0,8.2,75726,Ежи Биньчицкий,Анна Дымна,0,0
Гоголь. Страшная месть,,https://www.kinopoisk.ru/film/1114917/,Егор Баранов,Россия,2018,детектив,106.0,6.4,75708,Александр Петров,Олег Меньшиков,0,0
Любовь в большом городе,,https://www.kinopoisk.ru/film/430602/,Марюс Вайсберг,Россия,2009,комедия,88.0,6.3,75672,Вера Брежнева,Алексей Чадов,0,0
Женщина-кошка,Catwoman,https://www.kinopoisk.ru/film/3523/,Питоф,США,2004,фэнтези,104.0,5.8,75437,Холли Берри,Бенджамин Брэтт,0,0
Хищник 2,Predator 2,https://www.kinopoisk.ru/film/2230/,Стивен Хопкинс,США,1990,ужасы,108.0,7.0,75387,Дэнни Гловер,Гэри Бьюзи,0,1
Астрал 3,Insidious: Chapter 3,https://www.kinopoisk.ru/film/798277/,Ли Уоннелл,США,2015,ужасы,97.0,5.8,75376,Стефани Скотт,Лин Шэй,0,0
Ганнибал: Восхождение,Hannibal Rising,https://www.kinopoisk.ru/film/50948/,Питер Уэббер,Чехия,2006,триллер,121.0,6.9,75321,Гаспар Ульель,Гун Ли,0,0
Агент Джонни Инглиш,Johnny English,https://www.kinopoisk.ru/film/7983/,Питер Хауит,Великобритания,2003,боевик,84.0,6.7,75288,Роуэн Эткинсон,Натали Имбрулья,0,0
Лучше не бывает,As Good as It Gets,https://www.kinopoisk.ru/film/4199/,Джеймс Л. Брукс,США,1997,драма,139.0,7.9,75128,Джек Николсон,Хелен Хант,1,9
SuperАлиби,Alibi.com,https://www.kinopoisk.ru/film/977842/,Филипп Лашо,Франция,2016,мелодрама,89.0,6.8,75108,Филипп Лашо,Элоди Фонтан,0,0
Бесстрашный,Huo Yuan Jia,https://www.kinopoisk.ru/film/102161/,Ронни Юй,Китай,2006,боевик,104.0,8.1,75098,Джет Ли,Сунь Ли,0,0
Бэтмен возвращается,Batman Returns,https://www.kinopoisk.ru/film/898/,Тим Бёртон,США,1992,боевик,126.0,7.4,75039,Майкл Китон,Дэнни ДеВито,0,1
"Гори, гори ясно",Brightburn,https://www.kinopoisk.ru/film/1199596/,Дэвид Яровески,США,2019,ужасы,90.0,5.9,75030,Элизабет Бэнкс,Дэвид Денман,0,0
Новогодние приключения Маши и Вити,,https://www.kinopoisk.ru/film/252037/,Геннадий Казанский,СССР,1975,фэнтези,71.0,7.9,74980,Ирина Борисова,Михаил Боярский,0,0
Заговор дьявола,The Devil Conspiracy,https://www.kinopoisk.ru/film/1238170/,Нэйтан Франковски,Чехия,2022,ужасы,111.0,5.7,74909,Элис Орр-Юинг,Джо Дойл,0,0
Виктория,,https://www.kinopoisk.ru/film/1438350/,Урал Сафин,Россия,2020,комедия,90.0,7.3,74884,Максим Щеголев,Виталия Корниенко,0,0
Флирт с дьяволом,Shattered,https://www.kinopoisk.ru/film/4502184/,Луис Прието,США,2021,ужасы,91.0,6.0,74863,Камерон Монахэн,Фрэнк Грилло,0,0
Райское озеро,Eden Lake,https://www.kinopoisk.ru/film/373158/,Джеймс Уоткинс,Великобритания,2008,ужасы,91.0,6.9,74768,Келли Райлли,Майкл Фассбендер,0,1
Орел Девятого легиона,The Eagle,https://www.kinopoisk.ru/film/455353/,Кевин Макдональд,США,2010,драма,114.0,6.8,74758,Ченнинг Татум,Джейми Белл,0,0
Пришельцы,Les visiteurs,https://www.kinopoisk.ru/film/14297/,Жан-Мари Пуаре,Франция,1993,фэнтези,107.0,7.6,74747,Кристиан Клавье,Жан Рено,0,0
