Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
1+1,Intouchables,https://www.kinopoisk.ru/film/535341/,Оливье Накаш,Франция,2011,драма,112.0,8.8,2115000,Франсуа Клюзе,Омар Си,0,0
Джентльмены,The Gentlemen,https://www.kinopoisk.ru/film/1143242/,Гай Ричи,США,2019,криминал,113.0,8.6,1809000,Мэттью Макконахи,Чарли Ханнэм,0,1
Волк с Уолл-стрит,The Wolf of Wall Street,https://www.kinopoisk.ru/film/462682/,Мартин Скорсезе,США,2013,драма,180.0,8.0,1389000,Леонардо ДиКаприо,Джона Хилл,10,5
Брат,,https://www.kinopoisk.ru/film/41519/,Алексей Балабанов,Россия,1997,драма,100.0,8.3,1388000,Сергей Бодров мл.,Виктор Сухоруков,0,0
Гнев человеческий,Wrath of Man,https://www.kinopoisk.ru/film/1318972/,Гай Ричи,Великобритания,2021,боевик,119.0,7.6,1327000,Джейсон Стэйтем,Холт Маккэллани,0,0
Один дома,Home Alone,https://www.kinopoisk.ru/film/8124/,Крис Коламбус,США,1990,комедия,103.0,8.3,1183000,Маколей Калкин,Джо Пеши,0,0
По щучьему велению,,https://www.kinopoisk.ru/film/4959134/,Александр Войтинский,Россия,2023,фэнтези,115.0,7.8,1121000,Никита Кологривый,Мила Ершова,0,0
Достать ножи,Knives Out,https://www.kinopoisk.ru/film/1188529/,Райан Джонсон,США,2019,детектив,130.0,8.1,1097000,Дэниэл Крэйг,Ана де Армас,0,0
Аватар,Avatar,https://www.kinopoisk.ru/film/251733/,Джеймс Кэмерон,США,2009,фантастика,162.0,8.0,1087000,Сэм Уортингтон,Зои Салдана,2,0
Зеленая книга,Green Book,https://www.kinopoisk.ru/film/1108577/,Питер Фаррелли,США,2018,биография,130.0,8.5,1074000,Вигго Мортенсен,Махершала Али,0,3
Холоп 2,,https://www.kinopoisk.ru/film/5047468/,Клим Шипенко,Россия,2023,комедия,119.0,7.1,1065000,Аглая Тарасова,Милош Бикович,0,0
Брат 2,,https://www.kinopoisk.ru/film/41520/,Алексей Балабанов,Россия,2000,боевик,127.0,8.2,1056000,Сергей Бодров мл.,Виктор Сухоруков,0,0
Иван Васильевич меняет профессию,,https://www.kinopoisk.ru/film/42664/,Леонид Гайдай,СССР,1973,комедия,88.0,8.8,1053000,Александр Демьяненко,Юрий Яковлев,0,0
Бойцовский клуб,Fight Club,https://www.kinopoisk.ru/film/361/,Дэвид Финчер,США,1999,триллер,139.0,8.7,1051000,Эдвард Нортон,Брэд Питт,3,3
Зверополис,Zootopia,https://www.kinopoisk.ru/film/775276/,Байрон Ховард,США,2016,мультфильм,108.0,8.3,1028000,Джиннифер Гудвин,Джейсон Бейтман,0,0
Побег из Шоушенка,The Shawshank Redemption,https://www.kinopoisk.ru/film/326/,Фрэнк Дарабонт,США,1994,драма,142.0,9.1,1025000,Тим Роббинс,Морган Фриман,0,0
Остров проклятых,Shutter Island,https://www.kinopoisk.ru/film/397667/,Мартин Скорсезе,США,2009,триллер,138.0,8.5,999429,Леонардо ДиКаприо,Марк Руффало,10,5
Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,https://www.kinopoisk.ru/film/689/,Крис Коламбус,Великобритания,2001,фэнтези,152.0,8.3,992056,Дэниэл Рэдклифф,Руперт Гринт,0,0
Зеленая миля,The Green Mile,https://www.kinopoisk.ru/film/435/,Фрэнк Дарабонт,США,1999,драма,189.0,9.1,988485,Том Хэнкс,Дэвид Морс,0,5
Начало,Inception,https://www.kinopoisk.ru/film/447301/,Кристофер Нолан,США,2010,фантастика,148.0,8.7,983607,Леонардо ДиКаприо,Джозеф Гордон-Левитт,2,5
Операция «Ы» и другие приключения Шурика,,https://www.kinopoisk.ru/film/42782/,Леонид Гайдай,СССР,1965,комедия,95.0,8.7,978964,Александр Демьяненко,Наталья Селезнёва,0,0
Любовь и голуби,,https://www.kinopoisk.ru/film/45146/,Владимир Меньшов,СССР,1984,мелодрама,107.0,8.3,978521,Александр Михайлов,Нина Дорошина,0,0
Интерстеллар,Interstellar,https://www.kinopoisk.ru/film/258687/,Кристофер Нолан,США,2014,фантастика,169.0,8.6,973277,Мэттью Макконахи,Энн Хэтэуэй,2,2
Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.kinopoisk.ru/film/4374/,Гор Вербински,США,2003,фэнтези,143.0,8.4,971900,Джонни Депп,Джеффри Раш,0,5
Холоп,,https://www.kinopoisk.ru/film/1183582/,Клим Шипенко,Россия,2019,комедия,109.0,7.1,960114,Милош Бикович,Александра Бортич,0,0
Форрест Гамп,Forrest Gump,https://www.kinopoisk.ru/film/448/,Роберт Земекис,США,1994,драма,142.0,8.9,906535,Том Хэнкс,Робин Райт,1,5
Веном,Venom,https://www.kinopoisk.ru/film/463634/,Рубен Фляйшер,США,2018,фантастика,112.0,6.9,898822,Том Харди,Мишель Уильямс,0,3
Переводчик,The Covenant,https://www.kinopoisk.ru/film/927898/,Гай Ричи,Великобритания,2022,боевик,123.0,7.9,878953,Джейк Джилленхол,Дар Салим,0,0
Легенда,Legend,https://www.kinopoisk.ru/film/839954/,Брайан Хелгеленд,Великобритания,2015,криминал,131.0,7.2,869016,Том Харди,Эмили Браунинг,0,0
Титаник,Titanic,https://www.kinopoisk.ru/film/2213/,Джеймс Кэмерон,США,1997,мелодрама,194.0,8.4,860370,Леонардо ДиКаприо,Кейт Уинслет,2,9
Мстители: Война бесконечности,Avengers: Infinity War,https://www.kinopoisk.ru/film/843649/,Энтони Руссо,США,2018,фантастика,149.0,8.1,847725,Роберт Дауни мл.,Крис Хемсворт,0,0
Шрэк,Shrek,https://www.kinopoisk.ru/film/430/,Эндрю Адамсон,США,2001,мультфильм,90.0,8.2,835777,Майк Майерс,Эдди Мерфи,0,0
Области тьмы,Limitless,https://www.kinopoisk.ru/film/462606/,Нил Бёргер,США,2011,триллер,105.0,8.0,826009,Брэдли Купер,Роберт Де Ниро,0,9
Мстители: Финал,Avengers: Endgame,https://www.kinopoisk.ru/film/843650/,Энтони Руссо,США,2019,фантастика,181.0,7.9,795839,Роберт Дауни мл.,Крис Эванс,0,0
Джентльмены удачи,,https://www.kinopoisk.ru/film/44386/,Александр Серый,СССР,1971,комедия,84.0,8.6,794070,Евгений Леонов,Георгий Вицин,0,0
Криминальное чтиво,Pulp Fiction,https://www.kinopoisk.ru/film/342/,Квентин Тарантино,США,1994,криминал,154.0,8.7,780632,Джон Траволта,Сэмюэл Л. Джексон,3,2
Рататуй,Ratatouille,https://www.kinopoisk.ru/film/89514/,Брэд Бёрд,США,2007,мультфильм,111.0,8.0,776627,Пэттон Освальт,Иэн Холм,0,0
Леон,Léon,https://www.kinopoisk.ru/film/389/,Люк Бессон,Франция,1994,боевик,133.0,8.7,774347,Жан Рено,Натали Портман,0,2
Дюна,Dune: Part One,https://www.kinopoisk.ru/film/409424/,Дени Вильнёв,США,2021,фантастика,155.0,7.7,773133,Тимоти Шаламе,Ребекка Фергюсон,1,1
Бриллиантовая рука,,https://www.kinopoisk.ru/film/46225/,Леонид Гайдай,СССР,1968,комедия,94.0,8.5,771205,Юрий Никулин,Андрей Миронов,0,0
"Поймай меня, если сможешь",Catch Me If You Can,https://www.kinopoisk.ru/film/324/,Стивен Спилберг,США,2002,криминал,141.0,8.5,760444,Леонардо ДиКаприо,Том Хэнкс,9,10
"Кавказская пленница, или Новые приключения Шурика",,https://www.kinopoisk.ru/film/44745/,Леонид Гайдай,СССР,1966,комедия,82.0,8.5,751145,Александр Демьяненко,Наталья Варлей,0,0
Операция «Фортуна»: Искусство побеждать,Operation Fortune: Ruse de Guerre,https://www.kinopoisk.ru/film/1405508/,Гай Ричи,Великобритания,2022,боевик,114.0,7.1,748139,Джейсон Стэйтем,Обри Плаза,0,0
Стражи Галактики,Guardians of the Galaxy,https://www.kinopoisk.ru/film/689066/,Джеймс Ганн,США,2014,фантастика,121.0,7.9,745950,Крис Пратт,Зои Салдана,0,0
Вышка,Fall,https://www.kinopoisk.ru/film/4542208/,Скотт Манн,Великобритания,2022,триллер,107.0,6.7,744029,Грейс Кэролайн Карри,Вирджиния Гарднер,0,0
Матрица,The Matrix,https://www.kinopoisk.ru/film/301/,Лана Вачовски,США,1999,фантастика,136.0,8.5,731007,Киану Ривз,Лоренс Фишбёрн,0,0
Доктор Стрэндж,Doctor Strange,https://www.kinopoisk.ru/film/409600/,Скотт Дерриксон,США,2016,фантастика,115.0,7.5,727322,Бенедикт Камбербэтч,Тильда Суинтон,0,2
Достучаться до небес,Knockin' on Heaven's Door,https://www.kinopoisk.ru/film/32898/,Томас Ян,Германия,1997,драма,87.0,8.6,725383,Тиль Швайгер,Ян Йозеф Лиферс,0,0
Темный рыцарь,The Dark Knight,https://www.kinopoisk.ru/film/111543/,Кристофер Нолан,США,2008,фантастика,152.0,8.5,724780,Кристиан Бэйл,Хит Леджер,2,1
Тайна Коко,Coco,https://www.kinopoisk.ru/film/679486/,Ли Анкрич,США,2017,мультфильм,105.0,8.7,724170,Энтони Гонсалес,Гаэль Гарсиа Берналь,0,0
Москва слезам не верит,,https://www.kinopoisk.ru/film/46708/,Владимир Меньшов,СССР,1979,мелодрама,150.0,8.4,720815,Вера Алентова,Ирина Муравьёва,0,0
Законопослушный гражданин,Law Abiding Citizen,https://www.kinopoisk.ru/film/406408/,Ф. Гэри Грей,США,2009,боевик,108.0,8.0,719640,Джейми Фокс,Джерард Батлер,0,1
Батя,,https://www.kinopoisk.ru/film/1326397/,Дмитрий Ефимович,Россия,2020,комедия,76.0,7.7,715932,Владимир Вдовиченков,Андрей Андреев,0,0
Джанго освобожденный,Django Unchained,https://www.kinopoisk.ru/film/586397/,Квентин Тарантино,США,2012,вестерн,165.0,8.2,712661,Джейми Фокс,Кристоф Вальц,3,1
Мстители,The Avengers,https://www.kinopoisk.ru/film/263531/,Джосс Уидон,США,2012,фантастика,137.0,7.9,707422,Роберт Дауни мл.,Крис Эванс,0,0
Король Лев,The Lion King,https://www.kinopoisk.ru/film/2360/,Роджер Аллерс,США,1994,мультфильм,88.0,8.8,704557,Мэттью Бродерик,Джереми Айронс,0,1
Иллюзия обмана,Now You See Me,https://www.kinopoisk.ru/film/522892/,Луи Летерье,США,2013,криминал,115.0,7.7,697677,Джесси Айзенберг,Марк Руффало,0,1
ВАЛЛ·И,WALL·E,https://www.kinopoisk.ru/film/279102/,Эндрю Стэнтон,США,2008,мультфильм,98.0,8.4,693499,Бен Бертт,Элисса Найт,0,0
Жил-был пёс,,https://www.kinopoisk.ru/film/45319/,Эдуард Назаров,СССР,1982,мультфильм,10.0,9.2,692970,Георгий Бурков,Армен Джигарханян,0,0
Гладиатор,Gladiator,https://www.kinopoisk.ru/film/474/,Ридли Скотт,США,2000,история,155.0,8.6,685374,Рассел Кроу,Хоакин Феникс,3,6
Мажор в Сочи,,https://www.kinopoisk.ru/film/5078983/,Никита Власов,Россия,2022,приключения,109.0,7.1,679443,Павел Прилучный,Павел Чинарёв,0,0
Дэдпул,Deadpool,https://www.kinopoisk.ru/film/462360/,Тим Миллер,США,2016,боевик,108.0,7.6,675821,Райан Рейнольдс,Морена Баккарин,0,0
Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,https://www.kinopoisk.ru/film/322/,Альфонсо Куарон,Великобритания,2004,фэнтези,142.0,8.2,675458,Дэниэл Рэдклифф,Руперт Гринт,2,0
Ford против Ferrari,Ford v Ferrari,https://www.kinopoisk.ru/film/835086/,Джеймс Мэнголд,США,2019,биография,152.0,8.2,675293,Кристиан Бэйл,Мэтт Дэймон,0,0
Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,https://www.kinopoisk.ru/film/63991/,Гор Вербински,США,2006,фэнтези,151.0,8.1,671156,Джонни Депп,Орландо Блум,0,3
Железный человек,Iron Man,https://www.kinopoisk.ru/film/61237/,Джон Фавро,США,2008,фантастика,126.0,8.0,669356,Роберт Дауни мл.,Джефф Бриджес,0,3
Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,https://www.kinopoisk.ru/film/328/,Питер Джексон,Новая Зеландия,2001,фэнтези,178.0,8.6,666928,Элайджа Вуд,Иэн Маккеллен,2,1
Пятый элемент,The Fifth Element,https://www.kinopoisk.ru/film/2656/,Люк Бессон,Франция,1997,фантастика,126.0,8.1,664495,Брюс Уиллис,Милла Йовович,0,0
Шерлок Холмс,Sherlock Holmes,https://www.kinopoisk.ru/film/420923/,Гай Ричи,США,2009,боевик,128.0,8.1,663615,Роберт Дауни мл.,Джуд Лоу,0,1
Как приручить дракона,How to Train Your Dragon,https://www.kinopoisk.ru/film/280172/,Дин ДеБлуа,США,2010,мультфильм,98.0,8.2,663333,Джей Барушель,Джерард Батлер,0,0
Паразиты,Gisaengchung,https://www.kinopoisk.ru/film/1043758/,Пон Джун-хо,Корея Южная,2019,драма,131.0,8.0,660268,Сон Кан-хо,Ли Сон-гюн,0,0
Назад в будущее,Back to the Future,https://www.kinopoisk.ru/film/476/,Роберт Земекис,США,1985,фантастика,116.0,8.6,658547,Майкл Дж. Фокс,Кристофер Ллойд,1,0
Девчата,,https://www.kinopoisk.ru/film/44168/,Юрий Чулюкин,СССР,1962,мелодрама,92.0,8.4,655946,Надежда Румянцева,Николай Рыбников,0,0
Гарри Поттер и Тайная комната,Harry Potter and the Chamber of Secrets,https://www.kinopoisk.ru/film/688/,Крис Коламбус,Великобритания,2002,фэнтези,161.0,8.1,650546,Дэниэл Рэдклифф,Руперт Гринт,0,0
Марсианин,The Martian,https://www.kinopoisk.ru/film/841700/,Ридли Скотт,США,2015,фантастика,144.0,7.8,649410,Мэтт Дэймон,Джессика Честейн,3,2
Один дома 2: Затерянный в Нью-Йорке,Home Alone 2: Lost in New York,https://www.kinopoisk.ru/film/5928/,Крис Коламбус,США,1992,комедия,119.0,8.0,628070,Маколей Калкин,Джо Пеши,0,0
Дьявол носит Prada,The Devil Wears Prada,https://www.kinopoisk.ru/film/104992/,Дэвид Фрэнкел,США,2006,драма,109.0,7.7,625466,Мэрил Стрип,Энн Хэтэуэй,0,1
Бесславные ублюдки,Inglourious Basterds,https://www.kinopoisk.ru/film/9691/,Квентин Тарантино,Германия,2009,боевик,153.0,8.0,621455,Брэд Питт,Кристоф Вальц,3,2
Головоломка,Inside Out,https://www.kinopoisk.ru/film/645118/,Пит Доктер,США,2015,мультфильм,95.0,8.1,621368,Эми Полер,Филлис Смит,0,0
Т-34,,https://www.kinopoisk.ru/film/930878/,Алексей Сидоров,Россия,2018,драма,139.0,6.8,621204,Александр Петров,Виктор Добронравов,0,0
Майор Гром: Чумной Доктор,,https://www.kinopoisk.ru/film/1109271/,Олег Трофим,Россия,2021,боевик,136.0,7.2,621026,Тихон Жизневский,Любовь Аксёнова,0,0
Душа,Soul,https://www.kinopoisk.ru/film/775273/,Пит Доктер,США,2020,мультфильм,106.0,8.4,620900,Джейми Фокс,Тина Фей,0,1
Унесённые призраками,Sen to Chihiro no kamikakushi,https://www.kinopoisk.ru/film/370/,Хаяо Миядзаки,Япония,2001,аниме,125.0,8.5,616960,Руми Хиираги,Мию Ирино,0,0
Круэлла,Cruella,https://www.kinopoisk.ru/film/804662/,Крэйг Гиллеспи,США,2021,комедия,134.0,7.6,615621,Эмма Стоун,Эмма Томпсон,0,5
Престиж,The Prestige,https://www.kinopoisk.ru/film/195334/,Кристофер Нолан,Великобритания,2006,триллер,130.0,8.5,614514,Хью Джекман,Кристиан Бэйл,2,1
Исчезнувшая,Gone Girl,https://www.kinopoisk.ru/film/692861/,Дэвид Финчер,США,2014,триллер,149.0,8.0,613071,Бен Аффлек,Розамунд Пайк,3,1
Однажды в… Голливуде,Once Upon a Time in... Hollywood,https://www.kinopoisk.ru/film/1047883/,Квентин Тарантино,США,2019,драма,161.0,7.7,611583,Леонардо ДиКаприо,Брэд Питт,3,7
Джокер,Joker,https://www.kinopoisk.ru/film/1048334/,Тодд Филлипс,США,2019,драма,122.0,8.0,611341,Хоакин Феникс,Роберт Де Ниро,1,8
Пираты Карибского моря: На краю света,Pirates of the Caribbean: At World's End,https://www.kinopoisk.ru/film/102124/,Гор Вербински,США,2007,приключения,169.0,8.1,606797,Джонни Депп,Джеффри Раш,0,5
Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows - Part 2,https://www.kinopoisk.ru/film/407636/,Дэвид Йейтс,Великобритания,2011,фэнтези,130.0,8.2,602691,Дэниэл Рэдклифф,Руперт Гринт,0,0
Служебный роман,,https://www.kinopoisk.ru/film/43869/,Эльдар Рязанов,СССР,1977,мелодрама,159.0,8.3,602561,Андрей Мягков,Алиса Фрейндлих,0,0
Первому игроку приготовиться,Ready Player One,https://www.kinopoisk.ru/film/538225/,Стивен Спилберг,США,2018,фантастика,140.0,7.4,601539,Тай Шеридан,Оливия Кук,9,0
Алита: Боевой ангел,Alita: Battle Angel,https://www.kinopoisk.ru/film/88173/,Роберт Родригес,США,2019,фантастика,121.0,7.2,599261,Роза Салазар,Кристоф Вальц,0,0
Драйв,Drive,https://www.kinopoisk.ru/film/276598/,Николас Виндинг Рефн,США,2011,криминал,100.0,7.3,597500,Райан Гослинг,Кэри Маллиган,0,5
Главный герой,Free Guy,https://www.kinopoisk.ru/film/1199100/,Шон Леви,США,2021,фантастика,115.0,7.4,597295,Райан Рейнольдс,Джоди Комер,0,0
Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,https://www.kinopoisk.ru/film/3498/,Питер Джексон,Новая Зеландия,2003,фэнтези,201.0,8.7,594695,Элайджа Вуд,Вигго Мортенсен,2,3
Большой куш,Snatch,https://www.kinopoisk.ru/film/526/,Гай Ричи,Великобритания,2000,криминал,104.0,8.6,593817,Джейсон Стэйтем,Стивен Грэм,0,0
Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,https://www.kinopoisk.ru/film/278522/,Питер Джексон,Новая Зеландия,2012,фэнтези,169.0,8.1,589948,Мартин Фриман,Иэн Маккеллен,2,1
Хатико: Самый верный друг,Hachi: A Dog's Tale,https://www.kinopoisk.ru/film/387556/,Лассе Халльстрём,США,2008,драма,89.0,8.4,589326,Ричард Гир,Джоан Аллен,2,1
Лига справедливости Зака Снайдера,Zack Snyder's Justice League,https://www.kinopoisk.ru/film/1387021/,Зак Снайдер,США,2021,фантастика,242.0,7.8,585095,Бен Аффлек,Галь Гадот,0,0
Последний богатырь,,https://www.kinopoisk.ru/film/976642/,Дмитрий Дьяченко,Россия,2017,фэнтези,114.0,7.1,584018,Виктор Хориняк,Мила Сивацкая,0,0
Джон Уик 4,John Wick: Chapter 4,https://www.kinopoisk.ru/film/1267348/,Чад Стахелски,США,2023,боевик,169.0,7.6,582916,Киану Ривз,Донни Йен,0,0
Терминатор 2: Судный день,Terminator 2: Judgment Day,https://www.kinopoisk.ru/film/444/,Джеймс Кэмерон,США,1991,фантастика,137.0,8.4,581741,Арнольд Шварценеггер,Линда Хэмилтон,2,0
Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,https://www.kinopoisk.ru/film/312/,Питер Джексон,Новая Зеландия,2002,фэнтези,179.0,8.6,580845,Элайджа Вуд,Иэн Маккеллен,2,1
Всё везде и сразу,Everything Everywhere All at Once,https://www.kinopoisk.ru/film/1322324/,Дэн Кван,США,2021,фантастика,139.0,7.2,580540,Мишель Йео,Джейми Ли Кёртис,1,1
Конёк-Горбунок,,https://www.kinopoisk.ru/film/1045583/,Олег Погодин,Россия,2021,фэнтези,111.0,7.2,577119,Антон Шагин,Павел Деревянко,0,0
Поезд в Пусан,Busanhaeng,https://www.kinopoisk.ru/film/977288/,Ён Сан-хо,Корея Южная,2016,ужасы,118.0,7.2,575214,Кон Ю,Ма Дон-сок,0,0
Беспринципные в деревне,,https://www.kinopoisk.ru/film/5129252/,Роман Прыгунов,Россия,2023,комедия,86.0,6.5,571523,Павел Деревянко,Оксана Акиньшина,0,0
Легенда №17,,https://www.kinopoisk.ru/film/601564/,Николай Лебедев,Россия,2012,биография,134.0,8.0,570084,Данила Козловский,Олег Меньшиков,0,0
Шоу Трумана,The Truman Show,https://www.kinopoisk.ru/film/4541/,Питер Уир,США,1998,драма,103.0,8.3,568804,Джим Керри,Лора Линни,4,2
Три богатыря и Конь на троне,,https://www.kinopoisk.ru/film/4419497/,Дарина Шмидт,Россия,2021,мультфильм,87.0,7.5,567963,Олег Куликович,Валерий Соловьев,0,0
Чебурашка,,https://www.kinopoisk.ru/film/4370148/,Дмитрий Дьяченко,Россия,2022,семейный,113.0,7.4,567791,Сергей Гармаш,Ольга Кузьмина,0,0
Холодное сердце,Frozen,https://www.kinopoisk.ru/film/493208/,Крис Бак,США,2013,мультфильм,102.0,7.9,567332,Кристен Белл,Идина Мензел,0,0
Живая сталь,Real Steel,https://www.kinopoisk.ru/film/88198/,Шон Леви,США,2011,фантастика,127.0,7.7,565850,Хью Джекман,Дакота Гойо,0,1
Брюс Всемогущий,Bruce Almighty,https://www.kinopoisk.ru/film/39577/,Том Шэдьяк,США,2003,фэнтези,97.0,7.7,558054,Джим Керри,Морган Фриман,0,0
Гарри Поттер и Кубок огня,Harry Potter and the Goblet of Fire,https://www.kinopoisk.ru/film/8408/,Майк Ньюэлл,Великобритания,2005,фэнтези,157.0,8.0,555637,Дэниэл Рэдклифф,Руперт Гринт,0,0
Маска,The Mask,https://www.kinopoisk.ru/film/6039/,Чак Рассел,США,1994,комедия,101.0,8.0,554415,Джим Керри,Кэмерон Диас,0,0
Чарли и шоколадная фабрика,Charlie and the Chocolate Factory,https://www.kinopoisk.ru/film/38905/,Тим Бёртон,США,2005,мюзикл,115.0,7.6,552802,Джонни Депп,Фредди Хаймор,0,3
Константин: Повелитель тьмы,Constantine,https://www.kinopoisk.ru/film/3793/,Фрэнсис Лоуренс,США,2005,фэнтези,121.0,7.9,550590,Киану Ривз,Рэйчел Вайс,0,0
Человек-паук: Через вселенные,Spider-Man: Into the Spider-Verse,https://www.kinopoisk.ru/film/920265/,Боб Персичетти,Канада,2018,мультфильм,117.0,8.2,547513,Шамеик Мур,Джейк Джонсон,0,0
Люди в чёрном,Men in Black,https://www.kinopoisk.ru/film/1091/,Барри Зонненфельд,США,1997,фантастика,98.0,8.0,547036,Томми Ли Джонс,Уилл Смит,0,4
Грань будущего,Edge of Tomorrow,https://www.kinopoisk.ru/film/505851/,Даг Лайман,США,2014,фантастика,113.0,7.9,546095,Том Круз,Эмили Блант,0,2
Счастливое число Слевина,Lucky Number Slevin,https://www.kinopoisk.ru/film/86326/,Пол Макгиган,США,2005,триллер,110.0,8.1,544862,Джош Хартнетт,Брюс Уиллис,0,0
Омерзительная восьмерка,The Hateful Eight,https://www.kinopoisk.ru/film/819101/,Квентин Тарантино,США,2015,вестерн,168.0,8.0,542773,Курт Рассел,Сэмюэл Л. Джексон,3,0
Довод,Tenet,https://www.kinopoisk.ru/film/1236063/,Кристофер Нолан,Великобритания,2020,фантастика,150.0,7.5,542503,Джон Дэвид Вашингтон,Роберт Паттинсон,2,0
Корпорация монстров,"Monsters, Inc.",https://www.kinopoisk.ru/film/458/,Пит Доктер,США,2001,мультфильм,92.0,8.1,542382,Джон Гудман,Билли Кристал,0,0
Аквамен,Aquaman,https://www.kinopoisk.ru/film/470178/,Джеймс Ван,США,2018,фэнтези,143.0,6.8,540057,Джейсон Момоа,Эмбер Хёрд,0,0
Тор: Рагнарёк,Thor: Ragnarok,https://www.kinopoisk.ru/film/822709/,Тайка Вайтити,США,2017,фантастика,130.0,7.7,539853,Крис Хемсворт,Том Хиддлстон,0,0
Стражи Галактики. Часть 2,Guardians of the Galaxy Vol. 2,https://www.kinopoisk.ru/film/841263/,Джеймс Ганн,США,2017,фантастика,136.0,7.8,534654,Крис Пратт,Зои Салдана,0,0
Человек-паук: Вдали от дома,Spider-Man: Far from Home,https://www.kinopoisk.ru/film/1008445/,Джон Уоттс,США,2019,фантастика,129.0,7.4,533062,Том Холланд,Сэмюэл Л. Джексон,0,0
Баба Яга спасает мир,,https://www.kinopoisk.ru/film/4536580/,Карен Захаров,Россия,2023,фэнтези,90.0,7.2,532781,Глафира Тарханова,Людмила Артемьева,0,0
Время,In Time,https://www.kinopoisk.ru/film/517988/,Эндрю Никкол,США,2011,фантастика,109.0,7.3,532362,Джастин Тимберлейк,Аманда Сайфред,0,0
Молчание ягнят,The Silence of the Lambs,https://www.kinopoisk.ru/film/345/,Джонатан Демме,США,1990,триллер,118.0,8.3,529994,Джоди Фостер,Энтони Хопкинс,0,7
"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",https://www.kinopoisk.ru/film/522/,Гай Ричи,Великобритания,1998,боевик,107.0,8.6,529678,Джейсон Флеминг,Декстер Флетчер,0,0
Иван Васильевич меняет всё,,https://www.kinopoisk.ru/film/5394690/,Миша Семичев,Россия,2023,комедия,106.0,6.5,527440,Тимур Батрутдинов,Демис Карибидис,0,0
Человек-паук,Spider-Man,https://www.kinopoisk.ru/film/838/,Сэм Рэйми,США,2002,фантастика,121.0,7.7,525089,Тоби Магуайр,Уиллем Дефо,0,1
Отряд самоубийц,Suicide Squad,https://www.kinopoisk.ru/film/468522/,Дэвид Эйр,США,2016,фантастика,118.0,6.1,524450,Марго Робби,Уилл Смит,0,4
Гарри Поттер и Орден Феникса,Harry Potter and the Order of the Phoenix,https://www.kinopoisk.ru/film/48356/,Дэвид Йейтс,Великобритания,2007,фэнтези,138.0,7.8,520381,Дэниэл Рэдклифф,Руперт Гринт,0,0
Я – легенда,I Am Legend,https://www.kinopoisk.ru/film/195524/,Фрэнсис Лоуренс,США,2007,ужасы,96.0,7.9,520376,Уилл Смит,Алиси Брага,0,3
Лулу и Бриггс,Dog,https://www.kinopoisk.ru/film/1355139/,Рид Кэролин,США,2021,комедия,101.0,7.4,518829,Ченнинг Татум,Итан Сапли,0,0
Гарри Поттер и Принц-полукровка,Harry Potter and the Half-Blood Prince,https://www.kinopoisk.ru/film/89515/,Дэвид Йейтс,Великобритания,2009,фэнтези,153.0,7.8,516426,Дэниэл Рэдклифф,Руперт Гринт,0,0
День сурка,Groundhog Day,https://www.kinopoisk.ru/film/527/,Харольд Рэмис,США,1993,фэнтези,101.0,8.1,515022,Билл Мюррей,Энди Макдауэлл,0,1
Мадагаскар,Madagascar,https://www.kinopoisk.ru/film/6006/,Эрик Дарнелл,США,2005,мультфильм,86.0,8.0,514381,Бен Стиллер,Крис Рок,0,0
Семь,Se7en,https://www.kinopoisk.ru/film/377/,Дэвид Финчер,США,1995,триллер,127.0,8.3,513883,Брэд Питт,Морган Фриман,3,2
Отель «Гранд Будапешт»,The Grand Budapest Hotel,https://www.kinopoisk.ru/film/683999/,Уэс Андерсон,США,2014,комедия,100.0,7.9,510946,Рэйф Файнс,Тони Револори,1,1
Kingsman: Секретная служба,Kingsman: The Secret Service,https://www.kinopoisk.ru/film/749540/,Мэттью Вон,Великобритания,2015,боевик,130.0,7.7,510847,Тэрон Эджертон,Колин Фёрт,0,0
Отпуск по обмену,The Holiday,https://www.kinopoisk.ru/film/104927/,Нэнси Майерс,США,2006,мелодрама,136.0,7.9,510360,Кэмерон Диас,Кейт Уинслет,0,4
Список Шиндлера,Schindler's List,https://www.kinopoisk.ru/film/329/,Стивен Спилберг,США,1993,драма,195.0,8.8,509840,Лиам Нисон,Бен Кингсли,9,3
Лучшее предложение,La migliore offerta,https://www.kinopoisk.ru/film/681849/,Джузеппе Торнаторе,Италия,2012,триллер,131.0,8.0,509720,Джеффри Раш,Джим Стёрджесс,0,2
